,escuela,sexo,edad,entorno,TamFam,EstPadres,PMedu,Mtrab,Ptrab,razon,tutor,TiempoViaje,TiempoEstudio,suspensos,apoyo,ApFam,academia,extras,enfermeria,EstSup,internet,pareja,RelFam,TiempoLib,SalAm,Alc,salud,faltas,asignatura,T1,T2,T3
14,BG,F,17,U,<4,J,3.5,sanidad,otros,reputacion,padre,1,2.0,0,no,no,no,si,si,si,si,si,3.0,2,3,1,3,0,L,14,12,12
15,BG,F,16,U,>=4,J,1.5,otros,otros,cercania,madre,1,1.0,0,no,no,no,no,si,si,si,si,4.0,5,2,1,5,20,M,13,12,12
16,BG,M,16,U,>=4,J,4.0,docencia,docencia,optativas,padre,1,2.0,0,no,si,no,si,si,si,si,no,5.0,4,4,1,5,2,M,15,15,16
17,BG,F,17,U,<4,J,2.5,otros,otros,reputacion,madre,2,2.0,0,no,no,no,no,si,si,si,no,4.0,4,4,2,1,2,L,14,16,15
18,BG,F,18,U,<4,J,2.0,otros,otros,cercania,otros,1,2.0,0,no,no,no,si,no,si,si,si,4.0,3,3,1,2,0,M,8,8,0
19,IC,F,16,U,>=4,J,1.5,otros,servicios,optativas,madre,1,3.0,1,no,si,no,no,si,si,no,no,1.0,3,2,1,4,0,L,10,8,8
20,BG,M,17,U,<4,S,3.0,servicios,otros,cercania,madre,2,1.0,0,no,no,si,si,si,si,si,si,4.0,5,4,3,5,30,M,8,8,8
21,BG,F,17,R,<4,J,3.0,servicios,otros,otros,madre,1,1.0,0,no,si,no,no,si,si,no,no,5.0,2,1,1,3,6,L,12,11,11
22,BG,M,15,U,>=4,J,3.0,docencia,otros,cercania,madre,1,2.0,0,no,si,no,no,si,si,no,no,4.0,3,3,2,5,4,L,11,12,13
23,BG,M,18,U,>=4,J,2.5,servicios,otros,optativas,madre,2,1.0,0,no,no,no,no,si,no,si,no,4.0,4,5,3,5,8,L,7,8,7
24,BG,F,17,U,>=4,J,1.0,otros,servicios,optativas,padre,1,2.0,0,no,si,no,no,si,si,no,no,4.0,3,4,1,5,4,L,11,10,11
25,IC,F,17,U,>=4,J,4.0,sanidad,sanidad,optativas,padre,1,2.0,0,no,si,no,no,si,si,si,no,5.0,2,5,1,5,0,L,13,15,16
26,IC,M,18,R,>=4,J,0.5,casa,casa,optativas,otros,3,1.0,1,si,si,no,no,si,si,no,no,4.0,3,2,1,4,0,L,12,12,13
27,IC,M,16,U,<4,J,3.5,otros,otros,optativas,padre,1,1.0,0,no,no,no,si,si,si,si,no,4.0,2,5,2,5,8,L,14,12,13
28,BG,M,17,U,<4,J,3.5,sanidad,otros,optativas,madre,2,2.0,0,no,no,no,si,si,si,si,si,2.0,5,5,2,5,14,M,12,12,12
29,IC,M,19,R,>=4,J,1.5,otros,servicios,cercania,otros,3,2.0,3,no,no,no,no,si,si,si,no,5.0,4,4,3,2,8,M,8,7,8
30,IC,M,18,R,<4,J,2.5,casa,servicios,otros,padre,3,1.0,0,no,si,si,si,si,no,si,si,4.0,3,3,2,3,3,M,14,12,12
31,IC,F,18,U,>=4,J,2.0,servicios,casa,reputacion,padre,2,2.0,0,no,no,no,si,no,si,si,no,4.0,3,5,1,1,2,L,12,13,14
32,BG,M,16,R,>=4,S,3.0,otros,docencia,reputacion,madre,2,3.0,0,no,si,no,si,si,si,si,si,2.0,4,3,1,5,0,M,15,16,15
33,BG,M,15,U,<4,J,1.5,otros,otros,optativas,madre,2,1.0,0,no,no,no,si,si,si,no,no,4.0,4,4,3,5,2,L,8,9,10
34,BG,M,17,U,>=4,J,1.5,otros,otros,cercania,madre,2,1.0,3,si,si,no,si,si,no,si,no,4.0,5,1,1,3,2,M,8,8,10
35,BG,F,16,U,>=4,J,3.5,docencia,sanidad,cercania,madre,1,3.0,0,si,si,si,si,si,si,si,no,3.0,4,4,3,4,2,M,10,9,9
36,BG,F,17,U,>=4,J,2.5,sanidad,sanidad,reputacion,padre,1,4.0,0,no,si,no,si,no,si,si,no,5.0,2,2,1,5,0,L,18,18,18
37,BG,F,16,U,>=4,S,2.5,otros,otros,optativas,otros,2,1.0,0,no,si,no,si,no,si,si,si,4.0,3,2,1,5,4,L,9,9,10
38,IC,F,16,U,>=4,J,4.0,sanidad,sanidad,optativas,madre,1,2.0,0,no,si,no,no,si,si,si,si,4.0,3,4,1,3,4,L,8,8,8
39,BG,M,18,U,<4,S,3.5,otros,otros,reputacion,otros,1,2.0,0,no,no,no,si,si,si,si,si,4.0,3,5,2,2,9,L,13,14,15
40,BG,M,17,U,<4,S,2.5,docencia,servicios,cercania,madre,1,1.0,0,no,no,no,no,si,si,si,no,4.0,4,4,3,3,18,L,13,13,13
41,IC,M,19,R,>=4,J,1.0,otros,otros,cercania,otros,3,1.0,1,no,si,no,no,si,si,si,no,4.0,4,4,3,5,4,L,8,9,10
42,BG,F,16,U,<4,J,3.0,sanidad,sanidad,otros,madre,1,3.0,0,no,si,no,si,si,si,si,si,5.0,4,5,1,4,2,L,15,15,14
43,IC,F,20,U,>=4,J,3.0,sanidad,otros,optativas,otros,2,3.0,2,no,si,si,no,no,si,si,si,5.0,4,3,1,3,4,M,15,14,15
44,BG,F,17,U,<4,J,3.0,servicios,servicios,optativas,padre,1,2.0,0,no,no,no,si,si,si,si,si,4.0,3,2,1,5,8,L,14,15,16
45,IC,F,18,U,>=4,J,1.0,casa,servicios,optativas,madre,3,2.0,1,no,no,no,no,si,no,no,no,4.0,4,2,1,2,2,L,9,10,10
46,BG,M,19,U,>=4,J,3.0,otros,otros,cercania,otros,1,2.0,1,no,si,no,si,si,si,si,si,4.0,4,4,1,3,20,M,15,14,13
47,BG,F,18,U,>=4,J,3.0,otros,otros,optativas,madre,2,1.0,1,no,no,no,no,si,no,si,no,4.0,1,1,1,3,14,L,8,7,7
48,BG,F,17,U,>=4,S,3.0,sanidad,otros,reputacion,madre,1,2.0,0,no,si,no,no,no,si,si,si,3.0,3,3,2,3,10,L,12,13,14
49,IC,M,17,U,<4,J,4.0,otros,servicios,cercania,madre,1,3.0,0,no,si,no,no,si,si,si,no,4.0,4,3,1,5,0,L,15,14,16
50,BG,M,17,U,>=4,J,3.5,otros,otros,optativas,madre,1,2.0,0,no,si,si,si,si,si,si,si,5.0,2,3,1,2,4,L,11,11,13
51,BG,M,18,U,>=4,J,4.0,otros,otros,optativas,madre,1,3.0,0,no,no,no,si,si,si,si,no,4.0,3,3,2,3,0,L,13,14,13
52,BG,F,16,U,>=4,J,2.0,otros,otros,reputacion,madre,1,4.0,0,no,no,no,no,si,si,si,si,4.0,2,3,2,3,1,L,13,13,13
53,BG,M,22,U,>=4,J,2.0,servicios,servicios,otros,madre,1,1.0,3,no,no,no,no,no,no,si,si,5.0,4,5,5,1,16,M,6,8,8
54,BG,M,16,U,>=4,J,1.5,casa,otros,optativas,madre,4,1.0,0,no,no,no,no,si,si,no,no,3.0,2,1,1,2,4,L,9,9,11
55,IC,F,15,R,>=4,J,1.5,otros,servicios,optativas,madre,2,1.0,0,no,no,no,no,si,si,no,no,5.0,1,2,1,1,3,L,11,13,13
56,BG,F,16,U,>=4,J,3.5,otros,casa,optativas,madre,1,3.0,0,si,si,si,no,si,si,si,no,5.0,3,5,1,3,0,M,7,9,8
57,BG,M,15,U,>=4,J,3.0,servicios,servicios,reputacion,madre,2,2.0,0,no,si,no,si,si,si,si,no,4.0,3,1,1,5,2,L,15,15,15
58,BG,M,18,U,>=4,J,3.5,docencia,otros,optativas,madre,1,2.0,0,no,si,si,no,no,si,si,no,4.0,3,2,1,3,2,M,8,8,8
59,BG,M,18,U,>=4,J,2.0,servicios,otros,cercania,madre,1,2.0,1,no,si,si,si,si,si,si,no,4.0,4,4,3,5,15,M,6,7,8
60,BG,F,17,U,<4,J,3.0,servicios,servicios,optativas,padre,1,2.0,0,no,no,no,si,si,si,si,si,4.0,3,2,1,5,0,M,14,15,15
61,BG,F,16,U,>=4,J,2.0,casa,otros,cercania,madre,1,2.0,1,si,no,no,si,si,si,si,no,3.0,1,2,1,5,6,M,10,13,13
62,IC,F,17,R,>=4,J,2.5,otros,otros,optativas,madre,2,1.0,0,no,si,no,no,si,si,si,no,5.0,5,5,2,3,2,L,10,11,12
63,BG,F,18,U,>=4,J,3.5,otros,otros,optativas,madre,1,1.0,0,no,si,no,si,si,si,si,si,5.0,4,4,1,1,4,L,11,12,14
64,BG,F,18,U,<4,J,2.0,casa,servicios,optativas,madre,1,2.0,1,no,si,no,no,no,si,si,si,5.0,3,1,1,5,16,L,9,8,10
65,IC,F,17,R,>=4,J,2.5,casa,otros,otros,madre,1,1.0,0,no,si,si,no,si,si,si,no,5.0,1,3,1,5,5,L,9,9,9
66,IC,F,17,R,>=4,J,2.5,otros,otros,optativas,madre,2,2.0,0,si,si,no,no,no,si,si,no,4.0,3,3,2,5,0,L,17,18,18
67,BG,F,17,U,<4,J,2.5,servicios,servicios,optativas,padre,1,4.0,0,no,no,no,si,si,si,si,si,3.0,4,1,1,2,2,L,10,11,12
68,BG,M,18,U,<4,S,4.0,docencia,docencia,reputacion,madre,1,2.0,0,no,si,si,si,si,si,si,no,5.0,4,3,1,2,9,M,15,13,15
69,BG,M,15,U,<4,J,2.0,servicios,sanidad,reputacion,madre,1,4.0,0,no,si,no,si,si,si,si,no,4.0,3,4,1,4,2,L,11,12,12
70,BG,M,16,U,>=4,J,3.0,docencia,otros,cercania,madre,1,2.0,0,no,si,si,si,si,si,si,no,4.0,4,3,2,3,4,L,11,10,11
71,IC,F,18,U,<4,J,1.0,casa,servicios,optativas,padre,2,3.0,0,no,no,no,no,si,si,si,no,5.0,3,2,1,4,0,M,18,16,16
72,BG,M,15,U,<4,S,1.5,servicios,otros,optativas,madre,4,1.0,0,no,no,no,no,si,si,si,no,4.0,5,5,3,5,0,L,12,11,11
73,IC,M,17,U,>=4,J,3.0,servicios,servicios,cercania,madre,1,1.0,0,no,si,no,si,si,si,si,no,4.0,1,4,5,3,8,L,7,10,9
74,IC,F,17,U,>=4,J,0.5,otros,casa,optativas,padre,2,1.0,0,no,no,no,si,no,si,no,no,2.0,4,4,4,5,5,L,9,9,10
75,BG,M,16,U,>=4,J,3.5,docencia,otros,cercania,madre,1,2.0,0,no,si,si,si,si,si,si,no,3.0,4,3,2,3,10,M,9,8,8
76,BG,M,15,U,<4,J,1.5,otros,casa,cercania,padre,1,2.0,0,si,si,no,si,si,si,si,no,4.0,3,2,1,5,2,M,9,10,9
77,IC,F,17,R,>=4,J,1.0,casa,casa,optativas,padre,2,1.0,0,no,si,no,si,si,no,si,si,3.0,5,5,2,4,3,L,10,11,10
78,BG,F,18,U,<4,S,2.5,servicios,otros,reputacion,madre,2,2.0,0,no,si,no,no,si,si,si,no,4.0,1,4,2,4,10,L,14,17,17
79,BG,M,15,U,>=4,J,3.5,servicios,servicios,cercania,padre,1,1.0,0,si,no,no,no,si,si,si,no,4.0,5,5,1,5,0,L,9,9,9
80,IC,F,17,U,>=4,J,3.5,docencia,otros,otros,madre,2,2.0,0,no,no,no,no,si,si,si,no,5.0,5,4,1,1,0,L,6,9,11
81,BG,F,15,U,>=4,J,2.5,sanidad,servicios,cercania,padre,1,2.0,3,no,si,no,no,si,si,si,no,3.0,3,2,1,3,0,M,6,7,0
82,IC,M,21,R,>=4,J,1.5,otros,otros,optativas,otros,1,1.0,3,no,no,no,no,no,si,no,no,5.0,5,3,3,3,3,M,10,8,7
83,BG,F,18,R,>=4,J,2.0,otros,otros,reputacion,madre,1,2.0,1,no,no,no,si,si,si,si,si,5.0,3,3,1,4,16,M,9,8,7
84,IC,F,18,U,>=4,J,1.0,otros,otros,optativas,madre,2,2.0,1,no,no,no,si,si,si,no,no,1.0,1,1,1,5,0,M,6,5,0
85,IC,F,18,R,<4,S,2.5,otros,otros,optativas,otros,2,3.0,2,no,si,no,no,no,no,no,si,3.0,3,2,1,2,6,L,7,9,10
86,IC,F,16,R,>=4,J,2.5,otros,servicios,optativas,madre,3,2.0,0,no,si,no,no,si,si,si,no,4.0,5,4,1,1,2,L,15,15,15
87,BG,M,16,U,>=4,J,4.0,docencia,docencia,cercania,madre,1,2.0,0,no,si,si,si,si,si,si,si,4.0,4,5,5,5,4,L,12,11,12
88,IC,M,17,R,>=4,J,3.5,servicios,otros,cercania,madre,2,2.0,0,no,si,si,si,no,si,si,si,4.0,5,5,2,2,4,M,13,11,11
89,BG,F,15,U,>=4,J,3.5,servicios,otros,reputacion,madre,1,1.0,0,no,no,si,si,si,si,si,no,4.0,5,5,2,1,4,M,16,17,18
90,BG,F,18,U,>=4,J,1.5,otros,otros,cercania,madre,2,3.0,0,no,no,no,si,si,si,si,no,4.0,5,5,1,2,0,L,14,14,14
91,BG,M,17,R,>=4,J,1.5,casa,otros,cercania,madre,1,2.0,0,no,no,no,no,si,si,no,no,3.0,1,3,2,3,6,L,9,9,10
92,BG,M,16,U,>=4,J,2.0,otros,otros,reputacion,padre,2,4.0,0,no,si,si,no,si,si,si,no,4.0,3,2,1,5,0,M,13,15,15
93,BG,F,17,U,>=4,J,2.0,otros,otros,optativas,madre,1,2.0,0,no,si,no,no,no,si,si,no,5.0,4,5,1,5,4,M,10,9,11
94,BG,F,16,U,>=4,J,2.0,otros,otros,cercania,madre,1,2.0,0,no,si,si,no,no,si,si,no,4.0,1,5,1,4,0,M,6,7,0
95,BG,M,16,U,<4,J,1.5,otros,otros,optativas,madre,2,1.0,1,no,no,no,si,si,si,no,no,4.0,4,4,3,5,0,M,7,0,0
96,BG,M,18,U,<4,J,2.5,otros,otros,optativas,madre,1,4.0,0,no,si,si,si,si,si,si,no,4.0,5,5,3,5,0,L,11,11,12
97,BG,M,15,U,>=4,J,4.0,otros,docencia,reputacion,padre,2,2.0,0,no,si,no,si,si,si,no,no,4.0,4,3,1,2,4,L,16,15,16
98,IC,F,18,R,>=4,J,1.0,casa,casa,optativas,madre,2,1.0,1,no,no,no,no,no,no,si,si,3.0,2,3,1,2,0,L,9,11,10
99,BG,F,17,R,<4,J,2.5,servicios,otros,reputacion,madre,2,4.0,0,no,si,no,no,si,si,no,no,3.0,1,2,1,3,0,L,18,19,19
100,IC,M,18,U,<4,J,2.0,casa,servicios,optativas,madre,1,1.0,1,no,no,no,no,si,no,si,si,4.0,3,3,2,3,7,M,8,7,8
101,BG,M,17,U,>=4,J,1.0,otros,otros,reputacion,padre,1,2.0,0,no,no,no,no,no,si,si,no,4.0,3,3,1,4,0,L,12,12,12
102,IC,F,16,R,<4,J,2.0,otros,otros,cercania,padre,3,1.0,0,no,si,no,si,si,si,no,si,4.0,3,2,1,4,0,L,14,14,16
103,BG,F,16,U,>=4,J,2.5,otros,otros,reputacion,madre,1,2.0,0,si,si,no,si,si,si,no,no,4.0,4,3,2,4,4,L,11,12,12
104,BG,M,16,R,>=4,J,4.0,docencia,docencia,optativas,madre,1,1.0,0,no,no,si,si,si,si,si,no,3.0,5,5,3,4,0,M,18,18,18
105,BG,M,17,U,>=4,J,2.5,servicios,servicios,optativas,madre,2,1.0,3,no,si,no,si,no,no,no,no,4.0,5,2,1,2,10,L,8,7,8
106,IC,F,17,R,>=4,J,2.5,otros,otros,otros,madre,1,1.0,0,no,no,no,no,si,si,si,si,4.0,2,3,1,5,1,L,13,14,14
107,IC,M,15,R,>=4,J,1.0,otros,otros,optativas,madre,4,2.0,0,no,si,no,si,si,si,no,si,5.0,4,5,3,4,8,L,7,9,9
108,BG,M,17,U,<4,S,2.5,servicios,otros,cercania,madre,2,1.0,0,no,no,no,si,si,si,si,si,4.0,5,4,3,5,22,L,11,11,10
109,BG,F,17,U,>=4,J,3.5,casa,servicios,cercania,madre,1,3.0,1,no,si,si,no,si,si,si,si,4.0,4,3,3,5,28,M,10,9,9
110,IC,M,18,U,<4,J,1.0,otros,servicios,cercania,padre,2,1.0,0,no,no,no,no,no,si,si,si,3.0,3,2,1,3,4,M,10,10,10
111,BG,M,19,U,>=4,J,2.5,servicios,casa,cercania,madre,1,1.0,3,no,si,no,no,si,no,si,si,4.0,5,4,1,4,0,M,5,0,0
112,BG,F,17,U,>=4,S,2.0,casa,casa,cercania,padre,1,2.0,1,no,si,no,no,si,si,si,si,3.0,3,1,1,4,0,M,9,8,0
113,BG,F,18,U,>=4,J,3.5,otros,otros,optativas,madre,1,3.0,0,no,si,si,si,si,si,si,si,4.0,3,4,1,5,9,M,9,10,9
114,BG,M,18,U,>=4,J,4.0,docencia,servicios,cercania,madre,2,1.0,0,no,no,si,si,si,si,si,no,3.0,2,4,2,3,22,M,9,9,9
115,BG,M,16,U,>=4,J,4.0,servicios,servicios,optativas,madre,1,1.0,0,no,no,no,si,si,si,si,no,5.0,3,2,1,5,0,M,13,12,12
116,BG,M,15,U,>=4,J,3.5,otros,otros,reputacion,padre,1,1.0,0,no,no,no,no,si,si,si,no,3.0,4,3,1,4,2,L,14,13,14
117,BG,F,17,R,>=4,J,3.5,casa,servicios,optativas,padre,1,3.0,0,no,si,si,si,no,si,si,no,4.0,3,4,3,5,0,M,11,11,10
118,BG,F,18,U,>=4,J,2.0,casa,casa,otros,madre,1,3.0,0,no,si,si,no,si,si,si,no,4.0,3,3,1,2,5,M,18,18,19
119,BG,F,15,U,>=4,J,1.5,casa,servicios,optativas,madre,1,2.0,0,no,no,no,no,no,si,si,no,3.0,2,3,1,1,2,M,16,15,15
120,IC,F,18,U,>=4,S,1.5,casa,otros,optativas,madre,2,2.0,2,no,si,no,no,si,si,no,no,4.0,3,3,1,5,2,L,6,8,8
121,BG,M,16,R,>=4,J,3.5,servicios,otros,reputacion,madre,2,1.0,0,si,si,si,si,no,si,si,no,3.0,3,3,1,4,6,L,9,11,11
122,BG,M,19,R,<4,J,1.5,casa,servicios,optativas,madre,2,3.0,1,no,no,no,si,si,si,si,si,4.0,3,1,1,5,0,L,9,10,11
123,IC,F,18,U,>=4,J,2.5,casa,servicios,optativas,padre,2,1.0,0,no,si,no,no,si,si,si,si,5.0,2,3,1,4,0,L,10,10,10
124,BG,M,17,U,<4,S,3.0,sanidad,otros,reputacion,madre,1,3.0,0,no,si,no,no,si,si,si,no,4.0,4,2,1,4,2,L,12,15,15
125,BG,M,17,R,>=4,J,2.0,otros,otros,optativas,padre,3,2.0,1,no,si,no,si,si,si,si,no,5.0,2,4,2,5,14,L,12,11,11
126,BG,M,16,U,>=4,J,1.5,otros,otros,optativas,madre,3,1.0,0,no,no,no,no,si,si,si,no,4.0,3,3,1,4,6,M,18,18,18
127,BG,M,15,U,>=4,J,3.5,otros,otros,reputacion,padre,1,1.0,0,no,no,no,no,si,si,si,no,3.0,4,3,1,4,6,M,14,13,13
128,BG,M,16,U,>=4,J,2.5,otros,otros,cercania,padre,2,1.0,0,no,no,no,no,si,si,si,no,5.0,3,3,1,3,0,M,13,14,14
129,BG,F,18,U,>=4,J,3.0,servicios,servicios,cercania,madre,1,2.0,0,no,no,no,si,si,si,si,no,5.0,3,4,1,4,0,M,7,0,0
130,BG,F,17,R,>=4,J,1.5,casa,servicios,optativas,madre,3,2.0,0,no,no,no,si,si,si,no,no,2.0,1,1,1,3,2,L,13,13,13
131,BG,F,17,U,>=4,J,3.0,otros,otros,cercania,madre,1,3.0,0,no,no,no,si,no,si,no,no,3.0,2,3,1,4,4,M,10,9,9
132,BG,M,17,R,>=4,J,1.5,casa,otros,cercania,madre,1,2.0,0,no,no,no,no,si,si,no,no,3.0,1,3,2,3,4,M,8,9,10
133,BG,F,15,R,>=4,J,3.0,servicios,sanidad,optativas,madre,1,3.0,0,si,si,no,si,si,si,si,no,4.0,3,2,1,5,2,L,10,11,10
134,IC,M,18,R,>=4,J,2.5,servicios,otros,optativas,madre,1,1.0,1,no,no,no,no,si,no,si,no,2.0,3,1,2,5,0,L,4,0,0
135,BG,M,17,R,>=4,J,2.0,otros,otros,optativas,padre,2,2.0,0,no,si,no,si,si,si,si,no,4.0,5,2,1,1,0,L,12,13,13
136,BG,M,16,R,>=4,J,1.5,otros,otros,optativas,madre,2,2.0,0,no,no,no,si,no,si,no,no,3.0,3,2,2,3,2,L,14,13,12
137,BG,F,16,U,>=4,S,2.5,servicios,otros,optativas,madre,1,2.0,0,no,si,no,no,si,si,si,no,2.0,3,3,2,4,2,L,11,11,12
138,IC,F,18,U,<4,J,2.0,docencia,servicios,optativas,madre,1,2.0,0,no,si,no,no,si,si,si,no,4.0,3,4,1,1,4,L,15,15,16
139,BG,M,18,U,>=4,J,2.0,servicios,servicios,otros,madre,1,1.0,2,no,no,no,no,no,no,si,no,3.0,2,5,3,5,4,L,7,8,6
140,BG,M,16,U,<4,J,3.5,docencia,otros,optativas,madre,1,1.0,0,no,no,no,si,no,si,si,no,5.0,4,5,1,3,0,M,6,0,0
141,IC,F,16,U,<4,J,4.0,servicios,servicios,otros,padre,2,1.0,0,no,si,no,no,si,si,no,no,5.0,1,3,1,5,1,L,11,11,11
142,IC,M,18,U,<4,J,1.0,otros,servicios,cercania,padre,2,1.0,0,no,no,no,no,no,si,si,si,3.0,3,2,1,3,2,L,14,13,14
143,BG,M,16,R,<4,J,3.0,docencia,otros,cercania,padre,3,1.0,0,no,si,si,si,si,si,si,no,3.0,3,4,4,3,8,M,9,9,10
144,BG,F,17,U,>=4,J,1.0,servicios,docencia,reputacion,madre,1,3.0,0,no,si,no,no,si,si,si,no,4.0,3,3,1,3,0,L,13,13,14
145,BG,F,15,R,>=4,J,2.0,casa,otros,reputacion,madre,1,1.0,0,si,si,no,si,si,si,no,no,4.0,3,1,1,2,8,L,14,13,12
146,BG,M,18,U,<4,J,2.0,servicios,servicios,reputacion,madre,1,2.0,0,no,si,no,si,no,no,si,no,4.0,4,4,2,3,11,L,9,11,12
147,BG,M,19,U,<4,S,3.5,servicios,casa,reputacion,madre,1,2.0,0,no,si,no,no,si,si,si,no,4.0,3,1,1,1,12,M,11,11,11
148,BG,M,16,U,>=4,J,2.0,otros,otros,reputacion,madre,1,1.0,0,no,no,no,si,si,si,no,no,5.0,3,2,2,5,0,L,13,13,14
149,BG,M,16,U,<4,J,3.0,sanidad,otros,cercania,padre,1,1.0,0,no,no,si,si,si,si,si,no,3.0,1,3,2,5,4,M,8,10,10
150,BG,M,18,U,<4,J,1.5,servicios,otros,optativas,madre,3,2.0,1,no,no,no,si,no,no,si,no,4.0,4,5,4,5,4,L,11,10,11
151,BG,M,17,R,<4,J,1.5,casa,otros,optativas,madre,2,1.0,2,no,no,no,si,si,no,si,si,3.0,3,2,2,5,0,M,7,6,0
152,BG,F,17,R,>=4,J,3.5,casa,servicios,optativas,padre,1,3.0,0,no,si,no,si,no,si,si,no,4.0,3,4,3,5,2,L,15,15,17
153,BG,M,15,U,>=4,J,4.0,docencia,sanidad,reputacion,madre,1,2.0,0,no,si,no,si,si,si,no,no,3.0,2,2,1,5,8,L,15,15,16
154,BG,F,16,U,<4,J,2.0,otros,otros,cercania,padre,1,2.0,0,si,si,no,no,si,si,no,no,4.0,3,3,2,2,4,M,7,6,6
155,IC,F,18,R,>=4,J,2.5,casa,otros,otros,madre,2,3.0,0,no,no,no,no,si,si,no,no,5.0,3,3,2,4,0,L,14,17,15
156,BG,M,16,U,>=4,J,2.5,casa,otros,reputacion,madre,2,3.0,0,no,no,no,si,si,si,si,si,5.0,3,3,2,2,10,M,11,9,10
157,BG,F,17,U,>=4,J,4.0,otros,docencia,optativas,madre,1,1.0,0,si,si,no,no,si,si,no,si,4.0,2,1,1,4,0,L,13,13,13
158,BG,F,18,U,>=4,J,1.0,otros,otros,cercania,madre,2,2.0,0,si,no,no,si,si,si,si,no,5.0,4,4,1,4,4,M,8,9,10
159,IC,M,18,R,<4,J,2.5,servicios,otros,optativas,madre,3,1.0,0,no,no,no,no,no,si,si,no,4.0,4,1,3,5,4,L,10,11,11
160,BG,F,18,U,<4,J,3.0,servicios,servicios,cercania,madre,1,4.0,0,no,si,no,no,si,si,si,no,5.0,3,3,1,1,7,M,16,15,17
161,BG,F,16,U,>=4,S,2.0,servicios,otros,optativas,madre,1,2.0,3,no,si,si,no,si,si,si,no,2.0,3,3,2,4,5,M,7,7,7
162,BG,F,16,U,>=4,J,3.0,servicios,servicios,reputacion,madre,1,3.0,0,no,si,si,si,si,si,si,no,3.0,2,3,1,2,6,M,13,14,14
163,BG,M,18,U,>=4,J,1.5,otros,otros,cercania,madre,1,2.0,0,no,no,no,si,si,si,si,no,5.0,2,4,1,4,2,L,16,16,16
164,IC,M,16,U,>=4,J,1.0,casa,servicios,cercania,madre,2,2.0,0,no,si,no,si,si,si,no,si,5.0,4,5,4,3,0,L,7,0,0
165,BG,M,19,U,>=4,J,1.5,otros,otros,reputacion,madre,1,1.0,0,no,no,no,no,si,si,si,no,5.0,3,4,2,4,10,L,7,11,11
166,BG,F,17,U,>=4,S,3.5,servicios,servicios,optativas,madre,1,2.0,0,no,si,si,no,si,si,si,si,5.0,2,2,1,5,23,M,13,13,13
167,IC,F,17,R,>=4,J,1.5,otros,otros,optativas,madre,1,1.0,0,no,no,no,si,si,si,si,no,3.0,5,5,2,1,4,L,7,8,9
168,BG,M,15,U,>=4,J,4.0,sanidad,sanidad,otros,padre,1,1.0,0,no,si,si,no,si,si,si,no,5.0,4,2,1,5,0,M,12,15,15
